RT Ponting,46,121,0,104,6,1,44.23,2,v New Zealand,Christchurch,2005-03-10,0,0,0-49
RT Ponting,47,93,1,75,7,1,62.66,4,v New Zealand,Christchurch,2005-03-10,0,0,0-49
RT Ponting,9,36,0,30,0,0,30,1,v New Zealand,Wellington,2005-03-18,0,0,0-49
RT Ponting,86,113,1,84,12,2,102.38,4,v New Zealand,Auckland,2005-03-26,1,0,50-99
RT Ponting,105,154,0,110,13,4,95.45,2,v New Zealand,Auckland,2005-03-26,0,1,100-149
RT Ponting,9,38,0,18,1,0,50,1,v England,Lord's,2005-07-21,0,0,0-49
RT Ponting,42,100,0,65,3,0,64.61,3,v England,Lord's,2005-07-21,0,0,0-49
RT Ponting,0,4,0,5,0,0,0,4,v England,Birmingham,2005-08-04,0,0,0-49
RT Ponting,61,87,0,76,12,0,80.26,2,v England,Birmingham,2005-08-04,1,0,50-99
RT Ponting,7,20,0,12,1,0,58.33,2,v England,Manchester,2005-08-11,0,0,0-49
RT Ponting,156,411,0,275,16,1,56.72,4,v England,Manchester,2005-08-11,0,1,150-199
RT Ponting,1,6,0,6,0,0,16.66,2,v England,Nottingham,2005-08-25,0,0,0-49
RT Ponting,48,137,0,89,3,1,53.93,3,v England,Nottingham,2005-08-25,0,0,0-49
RT Ponting,35,81,0,56,3,0,62.5,2,v England,The Oval,2005-09-08,0,0,0-49
RT Ponting,46,96,0,76,6,1,60.52,1,v ICC World XI,Sydney,2005-10-14,0,0,0-49
RT Ponting,54,189,0,111,4,0,48.64,3,v ICC World XI,Sydney,2005-10-14,1,0,50-99
RT Ponting,104,182,1,158,8,0,65.82,3,v West Indies,Brisbane,2005-11-03,0,1,100-149
RT Ponting,149,316,0,213,15,0,69.95,1,v West Indies,Brisbane,2005-11-03,0,1,100-149
RT Ponting,0,2,1,3,0,0,0,4,v West Indies,Hobart,2005-11-17,0,0,0-49
RT Ponting,17,43,0,40,2,0,42.5,2,v West Indies,Hobart,2005-11-17,0,0,0-49
RT Ponting,3,20,0,17,0,0,17.64,4,v West Indies,Adelaide,2005-11-25,0,0,0-49
RT Ponting,56,168,0,122,6,0,45.9,2,v West Indies,Adelaide,2005-11-25,1,0,50-99
RT Ponting,53,161,0,106,4,0,50,3,v South Africa,Perth,2005-12-16,1,0,50-99
